sourcenotation;sourcelabel;targetnotation
155.41825;Character development--children, ...;
155.4189;Adaptability--children, ...;
155.4189042;Stress--children, ...;
155.419;Applied psychology--children, ...;
155.4192;Interpersonal relations--children, ...;
155.42;Children in specific age groups;
155.42-155.45;Children by specific attributes;
155.422;Infants;
155.422215;Auditory perception--infants, ...;
155.4222382;Infants--Walking, ...;
155.42224;Emotions--infants, ...;
155.422241;Affection--infants, ...;
155.422323;Concepts--infants, ...;
155.42282;Individual psychology--infants, ...;
155.42289042;Stress--infants, ...;
155.423;Children three to five;
155.424;Children six to eleven;
155.43;Children by gender or sex;
155.432;Boys;
155.433;Girls;
155.44;Children by status and relationships;
155.442;The only child;
155.443;Siblings;
155.444;Brothers and sisters of same birth;
155.445;Adopted and foster children;
155.446;Institutionalized children;
155.45;Exceptional children, children by social and economic levels, by ethnic or national group;
155.451-155.455;Exceptional children;
155.455;Gifted children--psychology, ...;
155.456;Children by social and economic levels;
155.4567;Children with social disadvantages;
155.457;Children by ethnic and national group;
155.4571-155.4579;Specific ethnic and national groups;
155.5;Psychology of young people twelve to twenty;
155.5081;People by gender or sex;
155.5082;Women;	
155.50866;Gay adolescents--psychology, ...;
155.5089;Ethnic and national groups;
155.51;General topics of psychology of young people twelve to twenty;
155.5124;Embarrassment--adolescents, ...;
155.51241;Affection--adolescents, ...;
155.51244;Guilt--adolescents, ...;
155.51246;Fear--adolescents, ...;
155.51248;Jealousy--adolescents, ...;
155.513;Cognitive psychology--adolescents, ...;
155.51342;Critical thinking in adolescence, ...;
155.51343;Problem solving--adolescents, ...;
155.51346;Judgment--adolescents, . .;.
155.518232;Justice in young adults, ...;
155.51824;Adaptability--adolescents, ...;
155.5189;Environmental psychology--adolescents, ...;
155.5189042;Stress--adolescents, ...;CP 3900
155.519;Applied psychology--adolescents, ...CW
155.5192;Interpersonal relations--adolescents, ...;
155.53;Young people twelve to twenty by gender or sex;
155.532;Males twelve to twenty;
155.533;Females twelve to twenty;
155.6;Psychology of adults;CQ 7200
155.6081;Adults by gender or sex;CR 6000
155.6082;Women;
155.6084;Adults in specific stages of adulthood;CQ 7000 - CQ 7400
155.6085;Relatives;
155.6086;Adults by miscellaneous social attributes;
155.60865;Adults by marital status;
155.60866;Adults in general by sexual orientation;MS 2870
155.6089;Ethnic and national groups;
155.609;History, geographic treatment, biography;
155.63;Adults by gender or sex;CR 6000
155.64;Adults by marital status and relationships;CV 8000
155.642;Single status;
155.6422;Men;
155.6423;Women;
155.643;Separated and divorced status;
155.6432;Men;
155.6433;Women;
155.644;Widowed status;
155.6442;Men;
155.6443;Women;
155.645;Married status;
155.6452;Men;
155.6453;Wome;
155.646;Parents, grandparents, progeny, siblings;
155.6462;Fathers;
155.6463;Mothers;
155.65;People in early adulthood;
155.65-155.67;People in specific stages of adulthood;
155.658232;Justice in young adults, ...;
155.659;Applied psychology--young adults, ...;
155.6591;Young adults--Conduct of life, ...;
155.6592;Interpersonal relations--young adults, ...;
155.66;People in middle adulthood;CQ 7200
155.67;People in late adulthood;CQ 7400
155.67089;Ethnic and national groups;
155.671;General topics of people in late adulthood;CQ 7000
155.6713;Cognitive psychology--late adulthood, ...;
155.67182;Identity (Psychology) in old age, ...;
155.67189;Environmental psychology--late adulthood, ...;
155.67189042;Stress--late adulthood, ...;
155.6719;Applied psychology--late adulthood, ...;
155.672;Adaptability and adjustment;
155.7;Evolutionary psychology;CR 1000
155.7;			;CZ 8000
155.7;			;CM 1000
155.7;			;WH 5000
155.7;			;MR 5750
155.8;Ethnopsychology and national psychology;CV 7500
155.82;Ethnopsychology;
155.84;Specific ethnic groups;
155.8496073;African Americans--psychology, ...;
155.89;National psychology;CV 7500
155.894798;Estonian national psychology, ...;
155.9;Environmental psychology;CV 9000
155.9042;Stress;CP 3900
155.91;Influence of physical environment and conditions;
