uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638365,2024-10-30,800496581,4019438-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638373,2024-10-30,800496863,4114624-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638381,2024-10-30,800497116,1212872363,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663839X,2024-10-30,800500525,4131754-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638403,2024-10-30,800508520,4579681-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638411,2024-10-30,800508834,4522302-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663842X,2024-10-30,800508872,4156629-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638438,2024-10-30,800512469,4127511-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638446,2024-10-30,800517818,4436902-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638454,2024-10-30,800520378,4491205-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638462,2024-10-30,800539343,4381675-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638470,2024-10-30,800561457,7577455-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638489,2024-10-30,800561536,4638758-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638497,2024-10-30,800565900,4424856-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638500,2024-10-30,800566959,4604246-5,=
