sourcenotation;targetnotation
344.032026; PQ 2500 - PQ 2900
344.032026; PQ 7000 - PQ 7400
344.03204; -------------
344.0320425; PQ 3700 - PQ 3780 SGB III
344.0321; PJ 2460 - PJ 2700
344.0321; PJ 2400 - PJ 3140                                                                                               
344.03218; PJ 2400 - PJ 3140    
344.0325; MS 6800 
344.0325; MS 6440
344.03257; MS 6440
344.03257; PQ 3770
344.03258; PQ 7000 - PQ 7400
344.03258; PG 440 - PG 445
344.032582;  PF 320
344.0326; PQ 5200 - PQ 5280
344.0327; PQ 5300 - PQ 5380
344.0327083; PQ 5300 - PQ 5380
344.032712; DR 6100 - DR 6109
344.032712; PN 862 - PN 889
344.032712; PQ 5300 - PQ 5380
344.032732; PQ 5200 - PQ 5280
344.032732; PQ 5300 - PQ 5380
344.03276; PQ PQ 6000 - PQ 6900
344.03276; PQ 5300 - PQ 5380
344.03282; PQ 6400 - PQ 6480 
344.0328292; PQ 6000 - PQ 6900
344.0328292; PQ 5000 - PQ 5280
